FAILED: 10085 SE River St,  Truckee, CA, 96161, US
FAILED: 11540 Stillwater Ct,  Truckee, CA, 96161, US
OK: 11553 Kitzbuhel Rd,  Truckee, CA, 96161, US
FAILED: 11570 Stillwater Ct,  Truckee, CA, 96161, US
OK: 11615 Kelley,  Truckee, CA, 96161, US
OK: 11615 Mougle Lane,  Truckee, CA, 96161, US
OK: 11655 Ski Slope Way,  Truckee, CA, 96161, US
OK: 11657 Munich Drive,  Truckee, CA, 96161, US
OK: 11669 Nordic Ln,  Truckee, CA, 96161, US
FAILED: 11724 East Sierra Drive,  Truckee, CA, 96161, US
FAILED: 11724 Hope Court Unit A,  Truckee, CA, 96161, US
OK: 11744 Chalet Rd,  Truckee, CA, 96161, US
OK: 11788 Saint Bernard,  Truckee, CA, 96161, US
FAILED: 11854 Bennet Flat Rd,  Truckee, CA, 96161, US
OK: 11884 Brookstone Drive,  Truckee, CA, 96161, US
OK: 11885 Sitzmark Way,  Truckee, CA, 96161, US
OK: 11960 Brookstone Drive,  Truckee, CA, 96161, US
OK: 12015 Lausanne,  Truckee, CA, 96161, US
OK: 12049 Bernese,  Truckee, CA, 96161, US
OK: 12055 Saint Bernard,  Truckee, CA, 96161, US
OK: 12055 Schussing,  Truckee, CA, 96161, US
OK: 12082 Muhlebach,  Truckee, CA, 96161, US
OK: 12119 Viking Way,  Truckee, CA, 96161, US
OK: 12141 Bernese,  Truckee, CA, 96161, US
OK: 12151 Snowpeak Way,  Truckee, CA, 96161, US
OK: 12153 Schussing Way,  Truckee, CA, 96161, US
OK: 12158 Schussing Way,  Truckee, CA, 96161, US
OK: 12158 Ski Slope,  Truckee, CA, 96161, US
OK: 12160 Lausanne Way,  Truckee, CA, 96161, US
FAILED: 12223 Pete Alvertson,  Truckee, CA, 96161, US
FAILED: 12251 Bear Meadows Ct,  Truckee, CA, 96161, US
OK: 12281 Muhlebach Way,  Truckee, CA, 96161, US
FAILED: 12285 Telemark Place,  Truckee, CA, 96161, US
OK: 12296 Stockholm Way,  Truckee, CA, 96161, US
OK: 12310 Fairway Drive,  Truckee, CA, 96161, US
OK: 12326 Fairway Drive,  Truckee, CA, 96161, US
OK: 12343 Snowpeak Way,  Truckee, CA, 96161, US
OK: 12397 Stockholm Way,  Truckee, CA, 96161, US
FAILED: 125 Lassen #15,  Tahoe City, CA, 96145, US
FAILED: 125 Lassen Drive # 8,  Tahoe City, CA, 96145, US
OK: 125 Speedboat,  Kings Beach, CA, 96143, US
OK: 12560 Saint Bernard,  Truckee, CA, 96161, US
FAILED: 12595 Northwoods #1,  Truckee, CA, 96161, US
OK: 12597 Pinnacle Loop,  Truckee, CA, 96161, US
FAILED: 126 Marlette Drive,  Tahoe City, CA, 96145, US
FAILED: 12615 Northwoods Blvd Unit #2,  Truckee, CA, 96161, US
FAILED: 12617 Bear Meadows Ct #4,  Truckee, CA, 96161, US
FAILED: 12719 Hidden Cir #2,  Truckee, CA, 96161, US
FAILED: 12719 Hidden Circle #4,  Truckee, CA, 96161, US
FAILED: 12762 HIdden Circle #2,  Truckee, CA, 96161, US
OK: 1280 West Lake Blvd,  Tahoe City, CA, 96145, US
FAILED: 12812 Zurich #1,  Truckee, CA, 96161, US
OK: 12861 Caleb Drive,  Truckee, CA, 96161, US
OK: 12870 Hillside,  Truckee, CA, 96161, US
OK: 12871 Stockholm Way,  Truckee, CA, 96161, US
OK: 12907 Davos Dr.,  Truckee, CA, 96161, US
OK: 12912 Pinnacle Loop,  Truckee, CA, 96161, US
OK: 12956 Stockholm Way,  Truckee, CA, 96161, US
OK: 12958 Hansel Ave,  Truckee, CA, 96161, US
OK: 12969 Stockholm Way,  Truckee, CA, 96161, US
OK: 12983 Stockholm,  Truckee, CA, 96161, US
FAILED: 130 Basque Drive,  Truckee, CA, 96161, US
OK: 13072 Pinnacle,  Truckee, CA, 96161, US
OK: 13074 Stockholm,  Truckee, CA, 96161, US
OK: 13082 Ski View Loop,  Truckee, CA, 96161, US
OK: 13099 Oberwald Way,  Truckee, CA, 96161, US
FAILED: 1310 Indian Hills,  Truckee, CA, 96161, US
FAILED: 1316 Indian Hills,  Truckee, CA, 96161, US
OK: 13186 Hillside Dr.,  Truckee, CA, 96161, US
FAILED: 13193 Snowshoe Thomson Circle,  Truckee, CA, 96161, US
FAILED: 1320 Commonwealth Drive,  Kings Beach, CA, 96143, US
FAILED: 1321 Indian Hills,  Truckee, CA, 96161, US
FAILED: 1322 Mineral Springs trail,  Olympic Valley, CA, 96146, US
OK: 13232 Hansel Ave,  Truckee, CA, 96161, US
FAILED: 1325 Edelweiss Ln,  Tahoe City, CA, 96145, US
OK: 1328 Mineral Springs Trl,  Alpine Meadows, CA, 96146, US
OK: 13289 Ski Slope,  Truckee, CA, 96161, US
OK: 13295 Hansel Ave,  Truckee, CA, 96161, US
OK: 13316 Muhlebach,  Truckee, CA, 96161, US
OK: 13320 Solvang Way,  Truckee, CA, 96161, US
FAILED: 13336 Skiview Loop,  Truckee, CA, 96161, US
OK: 13347 Solvang Way,  Truckee, CA, 96161, US
OK: 13406 Northwoods Blvd,  Truckee, CA, 96161, US
OK: 13411 Fairway Drive,  Truckee, CA, 96161, US
OK: 13419 Northwoods,  Truckee, CA, 96161, US
FAILED: 1345 Alpine Way,  Tahoe City, CA, 96145, US
FAILED: 1345 Canterbury Drive,  Kings Beach, CA, 96143, US
OK: 1347 Mineral Springs,  Alpine Meadows, CA, 96146, US
FAILED: 135 Alpine Meadows Rd #15,  Alpine Meadows, CA, 96146, US
OK: 135 Bearing Drive,  Tahoe City, CA, 96145, US
FAILED: 1350 Kings Way,  Tahoe Vista, CA, 96148, US
OK: 13535 Pathway Avenue,  Truckee, CA, 96161, US
OK: 13567 Hansel,  Truckee, CA, 96161, US
FAILED: 13579 Skislope Way,  Truckee, CA, 96161, US
OK: 13612 Hansel,  Truckee, CA, 96161, US
OK: 13630 Ski View Loop,  Truckee, CA, 96161, US
OK: 13647 Northwoods Blvd,  Truckee, CA, 96161, US
OK: 13666 Pathway Avenue,  Truckee, CA, 96161, US
OK: 1368 Mineral Springs Trail,  Alpine Meadows, CA, 96146, US
OK: 13711 Cristallina,  Truckee, CA, 96161, US
OK: 13779 Northwoods,  Truckee, CA, 96161, US
FAILED: 1390 Commonwealth Drive,  Kings Beach, CA, 96143, US
OK: 13963 Copenhagen,  Truckee, CA, 96161, US
OK: 13972 Robin Ln,  Truckee, CA, 96161, US
OK: 13983 Hansel Ave,  Truckee, CA, 96161, US
FAILED: 140 Roundridge Road,  Tahoe City, CA, 96145, US
OK: 1401 Pine Trail,  Alpine Meadows, CA, 96146, US
OK: 14027 Tyrol,  Truckee, CA, 96161, US
FAILED: 1405 Oxen Run,  Truckee, CA, 96161, US
OK: 14070 Davos,  Truckee, CA, 96161, US
OK: 1420 Chateau Place,  Alpine Meadows, CA, 96146, US
FAILED: 14219 Mountainside Place,  Truckee, CA, 96161, US
OK: 1423 Beaver Dam Trail,  Alpine Meadows, CA, 96146, US
OK: 14255 Herringbone,  Truckee, CA, 96161, US
OK: 1433 Mineral Springs,  Alpine Meadows, CA, 96146, US
OK: 14398 Northwoods Blvd,  Truckee, CA, 96161, US
FAILED: 144 Chipmunk St #1,  Kings Beach, CA, 96143, US
OK: 1440 Pine Trail,  Alpine Meadows, CA, 96146, US
FAILED: 14403 Skislope Way,  Truckee, CA, 96161, US
FAILED: 1443 Juniper Mountain Road,  Olympic Valley, CA, 96146, US
FAILED: 14472 Homerun Trail,  Truckee, CA, 96161, US
OK: 14478 Matterhorn Place,  Truckee, CA, 96161, US
OK: 14478 Tyrol Road,  Truckee, CA, 96161, US
FAILED: 14483 Home Run Trail,  Truckee, CA, 96161, US
FAILED: 145 Timber Drive,  Tahoe City, CA, 96145, US
OK: 14509 Wolfgang,  Truckee, CA, 96161, US
OK: 14649 Copenhagen,  Truckee, CA, 96161, US
OK: 1473 Upper Bench Rd,  Alpine Meadows, CA, 96146, US
OK: 14731 Hansel Ave,  Truckee, CA, 96161, US
OK: 14746 Davos Drive,  Truckee, CA, 96161, US
OK: 14779 Copenhagen Dr.,  Truckee, CA, 96161, US
OK: 14791 Slalom Way,  Truckee, CA, 96161, US
OK: 14806 Davos Dr,  Truckee, CA, 96161, US
OK: 14863 Swiss Ln,  Truckee, CA, 96161, US
FAILED: 149 Skyland Way,  Tahoe City, CA, 96145, US
OK: 1497 Mineral Springs,  Alpine Meadows, CA, 96146, US
FAILED: 150 Mammoth Drive,  Tahoe City, CA, 96145, US
FAILED: 150 Tallac Ave,  Homewood, CA, 96141, US
OK: 15011 Northwoods Blvd,  Truckee, CA, 96161, US
FAILED: 15012 Peak View Place,  Truckee, CA, 96161, US
FAILED: 15036 Peak View Place,  Truckee, CA, 96161, US
OK: 15040 Davos,  Truckee, CA, 96161, US
FAILED: 1505 Pine Ave,  Tahoe City, CA, 96145, US
FAILED: 151 Mammoth Drive,  Tahoe City, CA, 96145, US
OK: 1512 Sandy Way,  Olympic Valley, CA, 96146, US
OK: 15165 Northwoods,  Truckee, CA, 96161, US
OK: 15166 Swiss Lane,  Truckee, CA, 96161, US
OK: 15172 Wolfgang Rd.,  Truckee, CA, 96161, US
OK: 15219 Wolfgang,  Truckee, CA, 96161, US
FAILED: 1533 Alpine Meadows Road,  Olympic Valley, CA, 96146, US
FAILED: 1550 Sequoia Ave,  Tahoe City, CA, 96145, US
FAILED: 1560 Olympic Valley #10,  Alpine Meadows, CA, 96146, US
OK: 15681 Northwoods,  Truckee, CA, 96161, US
OK: 1574 Cortina Court,  Alpine Meadows, CA, 96146, US
FAILED: 1579 Mineral Springs Trail,  Olympic Valley, CA, 96146, US
FAILED: 1587 Olympic Valley Rd # 13,  Olympic Valley, CA, 96146, US
FAILED: 1595 Alpine Meadows Rd,  Olympic Valley, CA, 96146, US
OK: 1595 Upper Bench Rd,  Alpine Meadows, CA, 96146, US
OK: 1602 Sandy Way,  Olympic Valley, CA, 96146, US
FAILED: 1606 Deer Path,  Truckee, CA, 96161, US
OK: 16133 Ski Slope,  Truckee, CA, 96161, US
OK: 16323 Ski Slope,  Truckee, CA, 96161, US
FAILED: 16415 Skislope Way,  Truckee, CA, 96161, US
FAILED: 165 Basque Drive,  Truckee, CA, 96161, US
OK: 16507 Northwoods Blvd,  Truckee, CA, 96161, US
FAILED: 1660 Willow Ave,  Tahoe City, CA, 96145, US
OK: 17054 Ski Slope,  Truckee, CA, 96161, US
OK: 17207 Northwoods,  Truckee, CA, 96161, US
FAILED: 17305 Northwoods #2,  Truckee, CA, 96161, US
FAILED: 1739 Cedar Crest,  Tahoe City, CA, 96145, US
FAILED: 1776 Spruce Ave,  Tahoe City, CA, 96145, US
FAILED: 1800 Olympic Valley Rd #11,  Alpine Meadows, CA, 96146, US
FAILED: 1825 Silver Tip,  Tahoe City, CA, 96145, US
OK: 1830 Deer Park,  Alpine Meadows, CA, 96146, US
OK: 1875 John Scott Trail,  Alpine Meadows, CA, 96146, US
FAILED: 1877 North Lake Blvd #46,  Tahoe City, CA, 96145, US
FAILED: 1924 Gray Wolf,  Truckee, CA, 96161, US
FAILED: 202 Bitter Brush,  Truckee, CA, 96161, US
OK: 2080 Big John Rd,  Alpine Meadows, CA, 96146, US
FAILED: 212 Palisades Circle,  Olympic Valley, CA, 96146, US
FAILED: 214 Talvista Drive,  Tahoe City, CA, 96145, US
FAILED: 217 Basque,  Truckee, CA, 96161, US
FAILED: 224 Palisades Circle,  Olympic Valley, CA, 96146, US
OK: 2253 Bear Creek Dr,  Alpine Meadows, CA, 96146, US
ERROR: 227 Olympic Valley Rd #6,  Olympic Valley, CA, 96146, US
FAILED: 228 Palisades Circle,  Olympic Valley, CA, 96146, US
FAILED: 2311 John Scott Trail,  Olympic Valley, CA, 96146, US
ERROR: 232 Palisades Circle,  Olympic Valley, CA, 96146, US
ERROR: 236 Palisades Circle,  Olympic Valley, CA, 96146, US
ERROR: 240 Woodhaven,  Tahoe City, CA, 96145, US
ERROR: 250 Observation Court,  Tahoe City, CA, 96145, US
ERROR: 250 Winding Creek Road,  Olympic Valley, CA, 96146, US
ERROR: 260 Palisades Circle,  Alpine Meadows, CA, 96146, US
ERROR: 260 Sierra Crest Trail,  Olympic Valley, CA, 96146, US
ERROR: 270 Bend Ave,  Kings Beach, CA, 96143, US
ERROR: 270 Old County Road,  Carnelian Bay, CA, 96140, US
ERROR: 270 Pioneer Way,  Tahoe City, CA, 96145, US
ERROR: 270 Wildwood Avenue,  Carnelian Bay, CA, 96140, US
ERROR: 280 Old County,  Carnelian Bay, CA, 96140, US
ERROR: 288 West Agatam Avenue,  Tahoe Vista, CA, 96148, US
ERROR: 3002 Silver Strike,  Truckee, CA, 96161, US
ERROR: 3009 Ridge Court #13,  Olympic Valley, CA, 96146, US
ERROR: 3009 Ridge Court #14,  Olympic Valley, CA, 96146, US
ERROR: 3045 Martin,  Tahoe City, CA, 96145, US
ERROR: 306 Bob Haslem,  Truckee, CA, 96161, US
ERROR: 3060 Broken Arrow Place,  Olympic Valley, CA, 96146, US
ERROR: 310 Grove St,  Tahoe City, CA, 96145, US
ERROR: 310 Hazel St.,  Tahoma, CA, 96142, US
FAILED: 3102 Sierra Crest,  Olympic Valley, CA, 96146, US
FAILED: 311 Fawn Ln,  Tahoe Vista, CA, 96148, US
FAILED: 3116 Valley View Court,  Olympic Valley, CA, 96146, US
FAILED: 320 David Frink,  Truckee, CA, 96161, US
FAILED: 3230 Edgewater,  Tahoe City, CA, 96145, US
FAILED: 325 Snowbird Loop,  Homewood, CA, 96141, US
FAILED: 3370 Edgewater Drive,  Tahoe City, CA, 96145, US
OK: 340 Olympic Valley Rd,  Olympic Valley, CA, 96146, US
OK: 350 Olive Street,  Carnelian Bay, CA, 96140, US
OK: 353 Pioneer,  Tahoe City, CA, 96145, US
OK: 353 Red Cedar,  Tahoe City, CA, 96145, US
FAILED: 360 East Agatam Ave,  Tahoe Vista, CA, 96148, US
ERROR: 365 Elizabeth Drive,  Homewood, CA, 96141, US
OK: 365 Fairway Drive,  Tahoe City, CA, 96145, US
FAILED: 369 Fawn Lane,  Tahoe Vista, CA, 96148, US
FAILED: 372 Skidder Trail,  Truckee, CA, 96161, US
FAILED: 375 Pineland Drive,  Tahoe City, CA, 96145, US
FAILED: 3755 Belleview,  Homewood, CA, 96141, US
FAILED: 380 Montclair Drive,  Tahoe City, CA, 96145, US
FAILED: 385 Skidder Trail,  Truckee, CA, 96161, US
FAILED: 3856 Dinah Road,  Carnelian Bay, CA, 96140, US
FAILED: 392 Fawn Lane,  Tahoe Vista, CA, 96148, US
FAILED: 397 Skidder Trail,  Truckee, CA, 96161, US
FAILED: 4000 West Lake Blvd #16,  Homewood, CA, 96141, US
FAILED: 4000 West Lake Blvd #18,  Homewood, CA, 96141, US
FAILED: 4000 West Lake Blvd #5,  Homewood, CA, 96141, US
FAILED: 4000 West Lake Blvd #7,  Homewood, CA, 96141, US
FAILED: 4035 Robert Ave,  Carnelian Bay, CA, 96140, US
FAILED: 4040 Zermatt Rd,  Tahoe City, CA, 96145, US
OK: 405 Granlibakken,  Tahoe City, CA, 96145, US
FAILED: 405 Tahoe Woods Blvd,  Tahoe City, CA, 96145, US
FAILED: 4055 Courchevel,  Tahoe City, CA, 96145, US
OK: 4130 North Lake Blvd,  Carnelian Bay, CA, 96140, US
FAILED: 415 Upper Rd,  Tahoe City, CA, 96145, US
FAILED: 425 William Hurd,  Truckee, CA, 96161, US
FAILED: 4265 Interlaken Rd,  Homewood, CA, 96141, US
FAILED: 440 Estates Drive,  Tahoe Vista, CA, 96148, US
FAILED: 4400 Piney Wood Road,  Carnelian Bay, CA, 96140, US
FAILED: 4430 Interlaken Rd,  Homewood, CA, 96141, US
FAILED: 4435 Snow Flower Road,  Carnelian Bay, CA, 96140, US
ERROR: 445 Grand Ave,  Homewood, CA, 96141, US
OK: 446 Red Cedar,  Tahoe City, CA, 96145, US
FAILED: 4490 Huckleberry Drive,  Carnelian Bay, CA, 96140, US
FAILED: 4495 Huckleberry,  Carnelian Bay, CA, 96140, US
FAILED: 450 Tunnington Drive,  Carnelian Bay, CA, 96140, US
FAILED: 4511 Muletail Drive,  Carnelian Bay, CA, 96140, US
FAILED: 4515 Ridgewood,  Carnelian Bay, CA, 96140, US
OK: 4770 Sans Souci Terrace,  Homewood, CA, 96141, US
OK: 4785 Sans Souci Terrace,  Homewood, CA, 96141, US
OK: 4951 Flick St,  Carnelian Bay, CA, 96140, US
OK: 500 Olive St.,  Carnelian Bay, CA, 96140, US
FAILED: 5000 River Rd,  Olympic Valley, CA, 96146, US
OK: 510 Kimberly Dr.,  Tahoe City, CA, 96145, US
FAILED: 5101 N Lake Blvd #59,  Carnelian Bay, CA, 96140, US
FAILED: 5101 N. Lake Blvd #57,  Carnelian Bay, CA, 96140, US
OK: 5230 North Lake Blvd,  Carnelian Bay, CA, 96140, US
OK: 529 Beaver Street,  Kings Beach, CA, 96143, US
OK: 539 Pioneer Way,  Tahoe City, CA, 96145, US
FAILED: 550 Tunnington Drive,  Carnelian Bay, CA, 96140, US
FAILED: 5549 Lagoon Rd,  Homewood, CA, 96141, US
OK: 5600 West Lake Blvd,  Homewood, CA, 96141, US
OK: 5631 Sahara Dr.,  Carnelian Bay, CA, 96140, US
FAILED: 564 Brassie Ave,  Tahoe Vista, CA, 96148, US
FAILED: 565 Ward Ave,  Tahoe City, CA, 96145, US
OK: 567 Tallac St,  Carnelian Bay, CA, 96140, US
OK: 568 Hidden Lake Loop,  Olympic Valley, CA, 96146, US
FAILED: 5732 Uplands Rd,  Carnelian Bay, CA, 96140, US
FAILED: 5775 Lagoon,  Homewood, CA, 96141, US
OK: 5784 North Lake Blvd,  Carnelian Bay, CA, 96140, US
FAILED: 584 Brassie Ave,  Tahoe Vista, CA, 96148, US
OK: 5890 North Lake Blvd.,  Carnelian Bay, CA, 96140, US
OK: 6023 N. Lake Blvd,  Carnelian Bay, CA, 96140, US
FAILED: 6093 Rocky Point Circle,  Truckee, CA, 96161, US
FAILED: 6114 Rocky Point Circle,  Truckee, CA, 96161, US
OK: 622 Victor Place,  Olympic Valley, CA, 96146, US
FAILED: 625 Tunnington Dr,  Carnelian Bay, CA, 96140, US
FAILED: 6400 W Lake Blvd #9,  Homewood, CA, 96141, US
FAILED: 6405 Chamberlands Dr.,  Tahoma, CA, 96142, US
OK: 6418 Wildwood Rd.,  Tahoe Vista, CA, 96148, US
FAILED: 6500 River Road,  Truckee, CA, 96161, US
FAILED: 675 West Court,  Carnelian Bay, CA, 96140, US
FAILED: 6844 North Lake Blvd #1,  Tahoe Vista, CA, 96148, US
OK: 6974 Grey Lane,  Tahoe Vista, CA, 96148, US
FAILED: 7028 Allenby Way,  Tahoe Vista, CA, 96148, US
OK: 7077 Lewis,  Tahoma, CA, 96142, US
OK: 710 Conifer,  Truckee, CA, 96161, US
OK: 717 Conifer,  Truckee, CA, 96161, US
FAILED: 720 Ward Creek,  Tahoe City, CA, 96145, US
OK: 7201 Timber Wolf Drive,  Tahoma, CA, 96142, US
FAILED: 7243 Larkspur Court,  Truckee, CA, 96161, US
OK: 7282 3rd Avenue,  Tahoma, CA, 96142, US
OK: 7326 Chinkapin,  Tahoma, CA, 96142, US
OK: 739 Conifer,  Truckee, CA, 96161, US
FAILED: 74 Trinity Court,  Tahoe City, CA, 96145, US
OK: 7442 North Lake Boulevard,  Tahoe Vista, CA, 96148, US
FAILED: 7518 Larkspur Lane,  Truckee, CA, 96161, US
FAILED: 755 John McKinney Dr.,  Truckee, CA, 96161, US
FAILED: 7675 Lahontan,  Truckee, CA, 96161, US
OK: 7708 North Lake Blvd,  Tahoe Vista, CA, 96148, US
FAILED: 7804 Lincoln Green Drive,  Tahoe Vista, CA, 96148, US
FAILED: 7828 River Road, Bridge 10,  Truckee, CA, 96161, US
FAILED: 80 Observation Dr,  Tahoe City, CA, 96145, US
FAILED: 8012 Fleur Du Lac,  Truckee, CA, 96161, US
FAILED: 820 Beaver Pond,  Truckee, CA, 96161, US
FAILED: 8204 Meeks Bay Ave,  Tahoma, CA, 96142, US
FAILED: 8450 Lahontan Drive,  Truckee, CA, 96161, US
FAILED: 8460 Newhall Drive,  Truckee, CA, 96161, US
FAILED: 85 Tahoma Way,  Tahoe City, CA, 96145, US
FAILED: 8520 Lahontan Drive,  Truckee, CA, 96161, US
FAILED: 8580 Kilbarchan Ct,  Truckee, CA, 96161, US
FAILED: 8590 Kilbarchan,  Truckee, CA, 96161, US
FAILED: 8615 Huntington Ct.,  Truckee, CA, 96161, US
FAILED: 8675 Beach Lane,  Tahoma, CA, 96142, US
FAILED: 87 Whitney Court,  Tahoe City, CA, 96145, US
OK: 8748 Brockway Vista Avenue,  Kings Beach, CA, 96143, US
FAILED: 8954 Crest Dr.,  Tahoma, CA, 96142, US
FAILED: 9 Tahoma Ave,  Tahoe City, CA, 96145, US
FAILED: 900 Snow Shoe Road,  Tahoe City, CA, 96145, US
FAILED: 9030 Versant Ct,  Truckee, CA, 96161, US
FAILED: 9092 Woodland Ct,  Tahoma, CA, 96142, US
OK: 915 Woodside Dr,  Tahoma, CA, 96142, US
OK: 9220 Emerald Bay Rd,  South Lake Tahoe, CA, 96150, US
FAILED: 93 Winding Creek,  Olympic Valley, CA, 96146, US
FAILED: 930 Holly Rd,  Tahoe City, CA, 96145, US
FAILED: 930 Sierra Vista,  Homewood, CA, 96141, US
FAILED: 930 Ward Creek Blvd,  Tahoe City, CA, 96145, US
FAILED: 9305 Heartwood,  Truckee, CA, 96161, US
FAILED: 9316 Nine Bark Rd,  Truckee, CA, 96161, US
FAILED: 9324 Nine Bark,  Truckee, CA, 96161, US
FAILED: 9500 Dunsmuir,  Truckee, CA, 96161, US
FAILED: 9535 Dunsmuir,  Truckee, CA, 96161, US
FAILED: 9625 Brockway Springs Dr,  Kings Beach, CA, 96143, US
FAILED: 9718 Hunter House,  Truckee, CA, 96161, US
FAILED: 9731 Sean Place,  Truckee, CA, 96161, US
FAILED: 9745 Brockway Springs Dr,  Kings Beach, CA, 96143, US
OK: 9821 Yacht St.,  Kings Beach, CA, 96143, US
OK: 9902 Lake St,  Kings Beach, CA, 96143, US
